Student_ID,Age,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Collaboration_with_Peers_via_VR,Interest_in_Continuing_VR_Based_Learning,School_Support_for_VR_in_Curriculum,VR_Engagement_Score,Gender_Male,Gender_Non-binary,Gender_Prefer not to say,Grade_Level_Postgraduate,Grade_Level_Undergraduate,Field_of_Study_Business,Field_of_Study_Education,Field_of_Study_Engineering,Field_of_Study_Law,Field_of_Study_Medicine,Field_of_Study_Science,Subject_Biology,Subject_Computer Science,Subject_Economics,Subject_History,Subject_Math,Subject_Physics,Instructor_VR_Proficiency_Beginner,Instructor_VR_Proficiency_Intermediate,Stress_Level_with_VR_Usage_Low,Stress_Level_with_VR_Usage_Medium,Feedback_from_Educators_on_VR_Neutral,Feedback_from_Educators_on_VR_Positive,Region_Asia,Region_Europe,Region_North America,Region_Oceania,Region_South America,VR_Hours_Science,VR_Hours_Medicine,VR_Hours_Engineering,VR_Hours_Arts,VR_Hours_Business,VR_Hours_Education,VR_Hours_Law
STUD0011,26,False,1.584014112570928,-1.416325014634482,True,0.03414503553883489,True,1,False,No,True,-0.9390720208083575,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0
STUD0012,15,True,-0.008087878112672791,-1.416325014634482,True,-1.376806846231202,False,4,False,No,False,-1.2575094642835551,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
STUD0013,22,False,-0.9633490725228332,1.3863365360422413,True,-1.376806846231202,True,2,False,Yes,True,-0.62063457733316,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
STUD0014,27,False,1.2655937144342078,1.3863365360422413,False,0.03414503553883489,False,3,False,No,False,0.9715526400428278,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,9,0,0
STUD0015,21,True,-0.9633490725228332,-0.7156596269653012,True,-0.6713309053461836,True,3,False,Yes,True,-0.7798532990707587,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2
STUD0016,18,True,-0.6449286743861131,-1.416325014634482,True,1.4450969173088717,False,1,True,No,False,-0.62063457733316,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
STUD0017,28,False,1.2655937144342078,-1.416325014634482,True,0.7396209764238533,True,3,True,No,True,-0.7798532990707587,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0
STUD0018,18,True,1.584014112570928,-1.416325014634482,False,0.7396209764238533,True,5,True,No,False,-0.7798532990707587,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0
STUD0019,16,False,-0.32650827624939294,-0.014994239296120374,True,1.4450969173088717,False,4,False,Yes,True,0.9715526400428278,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
STUD0020,16,True,0.9471733162974876,-0.014994239296120374,True,-1.376806846231202,False,3,True,No,True,-0.9390720208083575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0
STUD0021,24,True,0.9471733162974876,-0.014994239296120374,False,-0.6713309053461836,True,4,False,Yes,True,-0.4614158555955612,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0
STUD0022,16,False,1.2655937144342078,-0.014994239296120374,True,0.03414503553883489,False,2,False,No,True,0.016240309617235126,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0
STUD0023,27,True,1.2655937144342078,-0.014994239296120374,True,-1.376806846231202,False,5,False,Yes,False,-0.9390720208083575,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0
STUD0024,17,True,-0.32650827624939294,-0.014994239296120374,True,1.4450969173088717,True,1,True,No,True,0.9715526400428278,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0
STUD0025,16,True,0.6287529181607675,0.6856711483730604,False,-1.376806846231202,False,5,True,No,False,-0.7798532990707587,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7,0
STUD0026,15,False,-0.6449286743861131,-1.416325014634482,False,-0.6713309053461836,False,3,False,Yes,True,-1.0982907425459563,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
STUD0027,25,True,-1.2817694706595533,-0.7156596269653012,True,1.4450969173088717,True,4,True,Yes,True,0.1754590313548339,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
STUD0028,15,True,-0.6449286743861131,0.6856711483730604,True,0.03414503553883489,False,4,True,No,False,0.49389647483003146,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
STUD0029,23,True,-0.008087878112672791,0.6856711483730604,False,0.7396209764238533,False,1,True,Yes,False,1.1307713617804265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0
STUD0030,25,True,1.584014112570928,1.3863365360422413,True,-0.6713309053461836,False,1,False,No,False,0.1754590313548339,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0
STUD0031,16,True,0.3103325200240474,1.3863365360422413,False,-1.376806846231202,False,1,True,No,True,-0.62063457733316,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,0,0
STUD0032,12,False,-1.6001898687962735,1.3863365360422413,False,0.03414503553883489,False,5,False,Yes,True,0.9715526400428278,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STUD0033,22,False,0.9471733162974876,-0.014994239296120374,True,0.7396209764238533,False,2,True,No,True,0.49389647483003146,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0
STUD0034,18,False,0.9471733162974876,-0.014994239296120374,True,0.03414503553883489,False,5,True,No,True,0.016240309617235126,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0
STUD0035,15,False,-0.32650827624939294,0.6856711483730604,False,1.4450969173088717,True,1,True,No,True,1.7676462487308215,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
STUD0036,12,False,-1.2817694706595533,-1.416325014634482,False,-0.6713309053461836,True,4,False,Yes,True,-1.0982907425459563,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
STUD0037,15,True,-0.6449286743861131,1.3863365360422413,True,0.7396209764238533,False,5,False,Yes,False,1.7676462487308215,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
STUD0038,30,True,0.3103325200240474,-1.416325014634482,False,0.03414503553883489,True,5,True,No,False,-0.9390720208083575,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6
STUD0039,12,True,0.6287529181607675,1.3863365360422413,False,1.4450969173088717,False,5,False,Yes,False,2.5637398574188155,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0
STUD0040,29,False,-0.32650827624939294,0.6856711483730604,False,0.03414503553883489,True,3,True,No,False,0.49389647483003146,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
STUD0041,16,False,0.9471733162974876,1.3863365360422413,True,1.4450969173088717,True,5,True,No,False,2.5637398574188155,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,0
STUD0042,26,True,0.6287529181607675,-0.014994239296120374,False,-1.376806846231202,False,2,False,Yes,False,-0.9390720208083575,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0
STUD0043,28,False,-1.6001898687962735,-0.014994239296120374,False,0.03414503553883489,True,4,False,Yes,True,0.016240309617235126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STUD0044,15,False,-0.9633490725228332,-0.7156596269653012,True,-1.376806846231202,False,2,False,No,True,-1.0982907425459563,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0
STUD0045,30,True,-1.6001898687962735,1.3863365360422413,True,-1.376806846231202,False,2,False,Yes,False,-0.62063457733316,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
STUD0046,26,True,-1.6001898687962735,1.3863365360422413,True,0.03414503553883489,False,5,True,No,False,0.9715526400428278,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
STUD0047,26,True,0.3103325200240474,0.6856711483730604,True,0.03414503553883489,True,3,True,No,True,0.49389647483003146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0
STUD0048,19,True,1.584014112570928,0.6856711483730604,True,-1.376806846231202,False,4,False,No,False,-0.7798532990707587,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,10,0,0,0,0,0,0
STUD0049,15,True,0.3103325200240474,-1.416325014634482,True,-1.376806846231202,True,1,True,No,True,-1.2575094642835551,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
STUD0050,23,False,-0.32650827624939294,1.3863365360422413,True,0.03414503553883489,False,2,True,No,True,0.9715526400428278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0
STUD0051,14,False,1.2655937144342078,1.3863365360422413,True,0.7396209764238533,True,1,True,Yes,True,1.7676462487308215,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
STUD0052,18,False,0.3103325200240474,-0.014994239296120374,True,1.4450969173088717,False,2,False,No,True,0.9715526400428278,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0
STUD0053,28,False,1.2655937144342078,-1.416325014634482,False,1.4450969173088717,True,5,True,No,False,-0.62063457733316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0
STUD0054,26,True,0.6287529181607675,-0.7156596269653012,False,0.03414503553883489,False,4,True,Yes,True,-0.4614158555955612,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0
STUD0055,29,False,1.2655937144342078,1.3863365360422413,True,0.7396209764238533,True,5,False,No,False,1.7676462487308215,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0
STUD0056,14,False,-0.9633490725228332,-0.014994239296120374,False,-0.6713309053461836,True,2,False,No,True,-0.4614158555955612,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
STUD0057,25,True,-0.9633490725228332,-0.014994239296120374,False,0.7396209764238533,True,1,True,Yes,False,0.49389647483003146,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
STUD0058,24,True,0.9471733162974876,1.3863365360422413,False,0.7396209764238533,True,4,True,Yes,False,1.7676462487308215,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8
STUD0059,25,False,-0.008087878112672791,-0.7156596269653012,False,0.7396209764238533,False,4,False,No,False,-0.14297841212036366,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
STUD0060,30,True,-1.6001898687962735,-0.7156596269653012,True,-0.6713309053461836,False,4,True,Yes,True,-0.7798532990707587,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
STUD0061,23,True,-0.6449286743861131,-0.7156596269653012,True,-1.376806846231202,False,4,False,No,True,-1.0982907425459563,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
STUD0062,14,True,-0.6449286743861131,1.3863365360422413,True,-1.376806846231202,False,4,False,Yes,False,-0.62063457733316,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0
STUD0063,25,True,1.584014112570928,-0.7156596269653012,True,0.03414503553883489,True,1,False,Yes,True,-0.4614158555955612,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0
STUD0064,20,False,1.2655937144342078,1.3863365360422413,True,-0.6713309053461836,False,4,True,No,True,0.1754590313548339,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0
STUD0065,24,False,1.2655937144342078,1.3863365360422413,True,-0.6713309053461836,True,5,True,Yes,True,0.1754590313548339,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,9,0
STUD0066,19,True,-0.008087878112672791,-1.416325014634482,False,0.03414503553883489,True,1,False,No,True,-0.9390720208083575,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
STUD0067,16,True,-0.9633490725228332,-1.416325014634482,True,0.03414503553883489,False,3,True,Yes,True,-0.9390720208083575,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
STUD0068,22,False,-0.32650827624939294,1.3863365360422413,True,0.7396209764238533,False,3,True,No,True,1.7676462487308215,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0
STUD0069,16,False,-0.6449286743861131,-0.014994239296120374,False,0.03414503553883489,True,1,False,No,True,0.016240309617235126,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0
STUD0070,27,True,0.3103325200240474,-0.7156596269653012,True,-1.376806846231202,False,1,False,Yes,False,-1.0982907425459563,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
STUD0071,29,False,-1.2817694706595533,-0.7156596269653012,False,1.4450969173088717,True,4,True,No,True,0.1754590313548339,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
STUD0072,20,False,0.6287529181607675,0.6856711483730604,True,0.03414503553883489,True,2,False,No,False,0.49389647483003146,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0
STUD0073,23,False,-0.6449286743861131,-0.014994239296120374,False,-0.6713309053461836,False,5,True,No,True,-0.4614158555955612,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
STUD0074,17,True,-0.6449286743861131,-1.416325014634482,True,0.7396209764238533,True,1,True,Yes,True,-0.7798532990707587,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
STUD0075,19,False,1.2655937144342078,-0.7156596269653012,False,1.4450969173088717,False,1,False,No,False,0.1754590313548339,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0
STUD0076,17,True,1.2655937144342078,-1.416325014634482,True,1.4450969173088717,True,5,False,No,True,-0.62063457733316,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,0
STUD0077,30,False,1.2655937144342078,-1.416325014634482,False,0.7396209764238533,True,1,False,No,True,-0.7798532990707587,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,9,0,0,0
STUD0078,20,True,0.6287529181607675,1.3863365360422413,True,-0.6713309053461836,False,4,True,Yes,False,0.1754590313548339,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
STUD0079,20,True,-1.6001898687962735,1.3863365360422413,True,0.03414503553883489,True,1,False,Yes,False,0.9715526400428278,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
STUD0080,18,True,-1.2817694706595533,-0.014994239296120374,False,1.4450969173088717,True,1,False,Yes,False,0.9715526400428278,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
STUD0081,23,True,-0.9633490725228332,-0.014994239296120374,True,-1.376806846231202,True,5,False,Yes,False,-0.9390720208083575,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
STUD0082,30,False,0.6287529181607675,1.3863365360422413,True,0.03414503553883489,True,2,True,No,False,0.9715526400428278,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
STUD0083,30,False,1.584014112570928,0.6856711483730604,False,-0.6713309053461836,False,3,True,No,True,-0.14297841212036366,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
STUD0084,14,False,1.584014112570928,-1.416325014634482,True,1.4450969173088717,False,3,False,No,True,-0.62063457733316,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0
STUD0085,27,False,1.584014112570928,-0.014994239296120374,True,-0.6713309053461836,False,5,False,Yes,False,-0.4614158555955612,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0
STUD0086,23,False,1.2655937144342078,0.6856711483730604,False,-0.6713309053461836,True,5,False,Yes,False,-0.14297841212036366,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9,0
STUD0087,24,False,0.3103325200240474,0.6856711483730604,True,-1.376806846231202,False,1,False,Yes,True,-0.7798532990707587,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0
STUD0088,16,True,-0.9633490725228332,-1.416325014634482,True,-1.376806846231202,False,1,False,Yes,True,-1.2575094642835551,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0
STUD0089,23,False,0.9471733162974876,-0.014994239296120374,True,0.03414503553883489,True,4,False,No,True,0.016240309617235126,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,0,0
STUD0090,16,True,-0.008087878112672791,-0.7156596269653012,True,0.03414503553883489,True,2,True,No,False,-0.4614158555955612,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0
STUD0091,26,True,-0.9633490725228332,-0.7156596269653012,True,0.7396209764238533,False,5,False,No,True,-0.14297841212036366,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0
STUD0092,30,False,-1.2817694706595533,1.3863365360422413,True,-0.6713309053461836,False,3,True,No,False,0.1754590313548339,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
STUD0093,16,True,0.6287529181607675,-0.7156596269653012,True,-0.6713309053461836,False,5,False,Yes,True,-0.7798532990707587,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0
STUD0094,12,True,0.3103325200240474,-0.7156596269653012,False,-1.376806846231202,True,4,True,No,True,-1.0982907425459563,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
STUD0095,13,True,-0.6449286743861131,1.3863365360422413,True,0.7396209764238533,True,1,True,No,True,1.7676462487308215,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
STUD0096,30,False,1.584014112570928,0.6856711483730604,False,-1.376806846231202,True,4,False,Yes,False,-0.7798532990707587,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,10,0
STUD0097,30,False,-0.008087878112672791,-0.014994239296120374,True,1.4450969173088717,False,5,True,Yes,False,0.9715526400428278,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5
STUD0098,15,True,-1.6001898687962735,-1.416325014634482,True,0.03414503553883489,True,1,False,No,False,-0.9390720208083575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
